,id,number_of_seasons,number_of_episodes,vote_count,vote_average,popularity,episode_run_time
143,90461,1,10,1329,7.178,23.609,27
144,66573,4,50,1313,7.974,39.536,22
145,79696,4,62,1312,7.728,111.411,42
146,67136,6,105,1310,8.25,783.85,43
147,97175,2,13,1302,8.172,39.946,47
148,87784,1,8,1292,8.368,20.272,45
149,66292,2,14,1286,7.918,18.466,50
150,64464,1,8,1282,7.768,28.261,81
151,94667,3,23,1275,7.463,18.028,0
152,84661,1,10,1266,7.384,22.222,60
153,97546,3,34,1260,8.477,102.723,0
154,89456,2,20,1260,8.6,35.237,23
155,62285,1,8,1246,7.084,18.916,50
156,86031,3,47,1245,8.622,33.218,24
157,61923,4,140,1244,8.404,218.604,11
158,114410,1,12,1242,8.626,96.136,24
159,73375,4,30,1241,7.717,121.507,0
160,67195,3,27,1238,7.6,29.975,50
161,103768,3,24,1237,7.892,50.375,54
162,71790,6,128,1225,8.122,420.779,42
163,79501,4,46,1211,7.629,57.392,49
164,85720,2,16,1203,7.994,37.868,52
165,126280,2,14,1200,7.138,124.145,0
166,128839,3,30,1200,7.441,102.911,45
167,79788,1,9,1192,7.715,24.849,0
168,115857,3,27,1185,7.611,22.14,40
169,96462,1,16,1172,8.57,44.909,75
170,80623,2,39,1167,8.135,148.824,24
171,83095,3,50,1165,8.581,55.951,24
172,80968,3,30,1160,7.939,47.476,50
173,82596,4,30,1152,7.775,33.659,30
174,74016,6,107,1152,8.5,81.374,42
175,65844,3,21,1146,8.63,39.46,24
176,79525,1,10,1144,8.246,13.996,60
177,120168,3,25,1132,7.638,18.157,40
178,67070,2,12,1123,8.318,33.488,26
179,76719,3,20,1113,7.342,46.773,45
180,107113,4,30,1110,8.5,177.857,0
181,86423,3,28,1104,7.903,27.017,47
182,72750,4,32,1101,8.0,33.546,43
183,115004,1,7,1100,8.275,26.577,59
184,87689,2,18,1098,8.089,38.392,42
185,62017,4,40,1092,7.5,43.583,60
186,65708,3,8,1090,7.899,58.718,60
187,71024,4,32,1082,8.266,75.852,24
188,79680,3,30,1082,7.445,44.024,50
189,96648,2,10,1059,8.433,30.864,52
190,82739,1,13,1058,8.6,28.772,24
191,90027,2,18,1050,7.812,34.433,0
192,62823,3,29,1047,6.9,27.859,43
193,124834,3,17,1044,8.67,80.855,30
194,94305,2,20,1043,7.53,45.692,43
195,80986,3,39,1035,7.786,48.136,43
196,90937,2,24,1034,8.557,25.991,23
197,105009,1,50,1031,8.543,129.685,24
198,83100,1,24,1023,8.586,35.162,24
199,69061,2,16,1019,7.599,24.893,60
200,70828,1,69,1019,7.78,90.093,45
201,66203,3,220,1017,7.931,118.609,45
202,64230,4,43,1009,7.48,47.659,60
203,90669,1,8,1007,7.644,37.824,50
204,62650,8,163,1006,8.334,143.196,42
205,105248,1,10,1004,8.589,41.81,25
206,102966,2,92,1002,7.7,18.01,40
207,86248,3,25,994,8.0,38.364,0
208,62914,3,40,991,8.617,30.007,40
209,81354,1,8,989,7.75,16.188,50
210,93740,2,20,979,7.895,142.666,0
211,71738,3,36,975,7.6,83.005,42
212,67075,3,37,975,8.568,55.814,24
213,68267,3,52,973,8.453,144.248,24
214,83097,2,23,973,8.511,27.662,23
215,60948,4,47,970,7.441,42.66,43
216,71578,4,38,965,8.183,61.42,33
217,89393,4,60,962,8.1,206.802,43
218,109958,1,9,955,7.668,20.82,54
219,79649,2,20,949,8.188,23.616,44
220,74204,7,71,939,7.8,50.654,27
221,125910,3,18,935,8.626,28.037,45
222,62110,2,47,934,8.468,41.66,24
223,74440,4,47,933,8.448,41.665,23
224,98986,2,25,929,8.4,35.144,24
225,63109,2,265,928,7.825,50.165,60
226,131927,1,10,924,8.132,25.079,51
227,92782,1,6,922,6.559,26.847,50
228,65249,1,12,922,8.539,20.643,25
